STOCKCODE,NAME_ENG,NAME_CHI,BOARD_LOT
0131.HK,CHEUK NANG HOLD,卓能（集團）,1000
0132.HK,CHINA INV HOLD,中國興業控股,1000
0135.HK,KUNLUN ENERGY,昆侖能源,2000
0136.HK,HENGTEN NET,恒騰網絡,4000
0137.HK,JINHUI HOLDINGS,金輝集團,1000
0138.HK,CCT FORTIS,中建富通,2000
0139.HK,CH SOFT POWER,中國軟實力,14000
0141.HK,GREAT CHINA,大中華集團,2000
0142.HK,FIRST PACIFIC,第一太平,2000
0143.HK,GUOAN INTL,國安國際,2000
0144.HK,CHINA MER PORT,招商局港口,2000
0145.HK,HK BLDG & LOAN,香港建屋貸款,8000
0146.HK,TAI PING CARPET,TAI PING CARPET,1000
0147.HK,IB SETTLEMENT,國際商業結算,5000
0148.HK,KINGBOARD CHEM,建滔化工,500
0149.HK,CH AGRI-PROD EX,中國農產品交易,5000
0151.HK,WANT WANT CHINA,中國旺旺,1000
0152.HK,SHENZHEN INT'L,深圳國際,500
0153.HK,CHINA SAITE,中國賽特,2000
0154.HK,BE ENVIRONMENT,北京控股環境集團,1000
0155.HK,CHINA SOLAR,中國源暢,10000
0156.HK,LIPPO CHINA RES,力寶華潤,10000
0157.HK,NATURAL BEAUTY,自然美,10000
0158.HK,MELBOURNE ENT,萬邦投資,500
0159.HK,BROCKMAN MINING,布萊克萬礦業,4000
0160.HK,HON KWOK LAND,漢國置業,2000
0161.HK,AVIC IHL,中航國際控股,2000
0162.HK,CENTURY GINWA,世紀金花,2000
0163.HK,EMPEROR INT'L,英皇國際,2000
0164.HK,CHINA BAOLI TEC,中國寶力科技,25000
0165.HK,CHINA EB LTD,中國光大控股,2000
0166.HK,NEWTIMES ENERGY,新時代能源,2000
0167.HK,IDT INT'L,IDT INT'L,2000
0168.HK,TSINGTAO BREW,青島啤酒股份,2000
