STOCKCODE,NAME_ENG,NAME_CHI,BOARD_LOT
0126,CARRIANNA,佳寧娜,"2,000"
0127,CHINESE EST H,華人置業,500
0128,ENM HOLDINGS,安寧控股,"4,000"
0129,ASIA STANDARD,泛海集團,"2,000"
0130,MOISELLE INT'L,慕詩國際,"2,000"
0131,CHEUK NANG HOLD,卓能（集團）,"1,000"
0132,CHINA INV HOLD,中國興業控股,"1,000"
0135,KUNLUN ENERGY,昆侖能源,"2,000"
0136,HENGTEN NET,恒騰網絡,"4,000"
0137,JINHUI HOLDINGS,金輝集團,"1,000"
0138,CCT FORTIS,中建富通,"2,000"
0139,CH SOFT POWER,中國軟實力,"14,000"
0141,GREAT CHINA,大中華集團,"2,000"
0142,FIRST PACIFIC,第一太平,"2,000"
0143,GUOAN INTL,國安國際,"2,000"
0144,CHINA MER PORT,招商局港口,"2,000"
0145,HK BLDG & LOAN,香港建屋貸款,"8,000"
0146,TAI PING CARPET,TAI PING CARPET,"1,000"
0147,IB SETTLEMENT,國際商業結算,"5,000"
0148,KINGBOARD CHEM,建滔化工,500
0149,CH AGRI-PROD EX,中國農產品交易,"5,000"
0151,WANT WANT CHINA,中國旺旺,"1,000"
0152,SHENZHEN INT'L,深圳國際,500
0153,CHINA SAITE,中國賽特,"2,000"
0154,BE ENVIRONMENT,北京控股環境集團,"1,000"
0155,CHINA SOLAR,中國源暢,"10,000"
0156,LIPPO CHINA RES,力寶華潤,"10,000"
0157,NATURAL BEAUTY,自然美,"10,000"
0158,MELBOURNE ENT,萬邦投資,500
0159,BROCKMAN MINING,布萊克萬礦業,"4,000"
0160,HON KWOK LAND,漢國置業,"2,000"
0161,AVIC IHL,中航國際控股,"2,000"
0162,CENTURY GINWA,世紀金花,"2,000"
0163,EMPEROR INT'L,英皇國際,"2,000"
0164,CHINA BAOLI TEC,中國寶力科技,"25,000"
0165,CHINA EB LTD,中國光大控股,"2,000"
0166,NEWTIMES ENERGY,新時代能源,"2,000"
0167,IDT INT'L,IDT INT'L,"2,000"
0168,TSINGTAO BREW,青島啤酒股份,"2,000"
0169,WANDA HOTEL DEV,萬達酒店發展,"1,000"
0171,SILVER GRANT,銀建國際,"2,000"
0172,GOLDBOND GROUP,金榜集團,"10,000"
0173,K. WAH INT'L,嘉華國際,"1,000"
0174,GEMINI INV,盛洋投資,"2,000"
0175,GEELY AUTO,吉利汽車,"1,000"
0176,SUPERACTIVE GP,先機企業集團,"2,000"
0177,JIANGSU EXPRESS,江蘇寧滬高速公路,"2,000"
0178,SA SA INT'L,莎莎國際,"2,000"
0179,JOHNSON ELEC H,德昌電機控股,500
0180,KADER HOLDINGS,開達集團,"2,000"
0181,FUJIAN HOLDINGS,閩港控股,"20,000"
0182,CONCORD NE,協合新能源,"10,000"
0183,WINFULL GP,宏輝集團,"8,000"
0184,KECK SENG INV,激成投資,"2,000"
0185,ZH INT'L HOLD,正恒國際控股,"10,000"
0186,GRANDE HOLDINGS,GRANDE HOLDINGS,"30,000"
0187,JINGCHENG MAC,京城機電股份,"2,000"
0188,SUNWAH KINGSWAY,新華匯富金融,"10,000"
0189,DONGYUE GROUP,東岳集團,"1,000"
0190,HKC (HOLDINGS),香港建設（控股）,"1,000"
0191,LAI SUN INT'L,麗新國際,"1,000"
0193,CAPITAL ESTATE,冠中地產,"15,000"
0194,LIU CHONG HING,廖創興企業,"2,000"
0195,L'SEA RESOURCES,利海資源,"10,000"
0196,HONGHUA GROUP,宏華集團,"1,000"
0197,HENG TAI,亨泰,"5,000"
0198,SMI HOLDINGS,星美控股,"4,000"
0199,ITC PROPERTIES,德祥地產,"1,000"
0200,MELCO INT'L DEV,新濠國際發展,"1,000"
0201,MAGNIFICENT,華大酒店,"2,000"
0202,EVERCHINA INT'L,潤中國際控股,"5,000"
0205,SEEC MEDIA,財訊傳媒,"20,000"
0206,TSC GROUP,ＴＳＣ集團,"1,000"
0207,JOY CITY PPT,大悅城地產,"2,000"
0208,POLYTEC ASSET,保利達資產,"5,000"
0209,WINSHINE SCI,瀛晟科學,"4,000"
0210,DAPHNE INT'L,達芙妮國際,"2,000"
0211,STYLAND HOLD,STYLAND HOLD,"10,000"
0212,NANYANG HOLD,NANYANG HOLD,500
0213,NATIONAL ELEC H,NATIONAL ELEC H,"2,000"
0214,ASIA ORIENT,匯漢控股,"2,000"
0215,HUTCHTEL HK,和記電訊香港,"2,000"
0216,CHINNEY INV,建業實業,"4,000"
0217,CHINA CHENGTONG,中國誠通發展集團,"2,000"
0218,SHENWANHONGYUAN,申萬宏源,"5,000"
0219,SHUNHO PROPERTY,順豪物業,"2,000"
0220,U-PRESID CHINA,統一企業中國,"1,000"
0221,EASY ONE FIN,易易壹金融,"10,000"
0222,MIN XIN HOLD,閩信集團,"2,000"
0223,ELIFE HLDGS,易生活控股,"2,000"
0224,PIONEER GLOBAL,建生國際,"4,000"
0225,POKFULAM,博富臨置業,"2,000"
0226,LIPPO,力寶,"1,000"
0227,FIRST SHANGHAI,第一上海,"8,000"
0228,CHINA ENERGY,中能控股,"2,000"
0229,RAYMOND IND,利民實業,"1,000"
0230,MINMETALS LAND,五礦地產,"2,000"
0231,PING AN SEC GP,平安證券集團控股,"20,000"
0232,AVIC INT'L,中國航空工業國際,"2,000"
0233,MY MEDICARE,銘源醫療,"10,000"
0234,NEW CENTURY GP,新世紀集團,"8,000"
0235,CHINA STRATEGIC,中策集團,"5,000"
0236,SAN MIGUEL HK,香港生力啤,"2,000"
0237,SAFETY GODOWN,安全貨倉,"2,000"
0238,EVERGREEN INT,長興國際,"1,000"
0239,PAK FAH YEOW,白花油,"2,500"
0240,BUILD KING HOLD,利基控股,"10,000"
0241,ALI HEALTH,阿里健康,"2,000"
0242,SHUN TAK HOLD,信德集團,"2,000"
0243,QPL INT'L,QPL INT'L,"9,000"
0244,SINCERE,先施,"1,000"
0245,CN MINSHENG FIN,中國民生金融,"10,000"
0246,REALGOLD MINING,瑞金礦業,500
0247,TST PROPERTIES,TST PROPERTIES,"2,000"
0248,HKC INT'L HOLD,香港通訊國際控股,"4,000"
0250,SINO-I TECH,中國數碼信息,"10,000"
0251,SEA HOLDINGS,爪哇控股,"2,000"
0252,SE ASIA PPT,華信地產財務,"2,000"
0253,SHUNHO HOLDINGS,順豪控股,"2,000"
0254,NUR HOLDINGS,國家聯合資源,"10,000"
0255,LUNG KEE,龍記集團,"2,000"
0256,CITYCHAMP,冠城鐘錶珠寶,"2,000"
0257,CHINA EB INT'L,中國光大國際,"1,000"
0258,TOMSON GROUP,湯臣集團,"2,000"
0259,YEEBO (INT'L H),億都（國際控股）,"2,000"
0260,AVIC JOY HLDG,幸福控股,"10,000"
0261,CCT LAND,中建置地,"80,000"
0262,DESON DEV INT'L,迪臣發展國際,"5,000"
0263,GT GROUP HLDG,高富集團控股,"4,000"
0264,ASCENT INT'L,中璽國際,"4,000"
0265,ORIENT VICTORY,東勝旅遊,"10,000"
0266,TIAN TECK LAND,天德地產,"2,000"
0267,CITIC,中信股份,"1,000"
0268,KINGDEE INT'L,金蝶國際,"2,000"
0269,CRTG,中國資源交通,"5,000"
0270,GUANGDONG INV,粵海投資,"2,000"
0271,ASIASEC PPT,亞證地產,"1,000"
0272,SHUI ON LAND,瑞安房地產,500
0273,MASON GP HOLD,茂宸集團,"20,000"
0274,C BILLION RES,中富資源,"40,000"
0275,MASTER GLORY GP,凱華集團,"10,000"
0276,MONGOLIA ENERGY,蒙古能源,"3,000"
0277,TERN PROPERTIES,太興置業,"2,000"
0278,WAH HA REALTY,華廈置業,"2,000"
0279,FREEMAN FINTECH,民眾金融科技,"20,000"
0280,KING FOOK HOLD,景福集團,"2,000"
0281,RIVERA (HOLD),川河集團,"2,000"
0282,NEXT DIGITAL,壹傳媒,"2,000"
0285,BYD ELECTRONIC,比亞迪電子,500
0286,CS HEALTH,同佳健康,"2,000"
0287,WINFAIR INV,永發置業,"2,000"
0288,WH GROUP,萬洲國際,500
0289,WING ON CO,WING ON CO,"1,000"
0290,C FORTUNE FIN,中國富強金融,"2,000"
0291,CHINA RES BEER,華潤啤酒,"2,000"
0292,ASIA STD HOTEL,泛海酒店,"10,000"
0293,CATHAY PAC AIR,國泰航空,"1,000"
0294,YANGTZEKIANG,長江製衣,"1,000"
0295,KONG SUN HOLD,江山控股,"25,000"
0296,EMPEROR E HOTEL,英皇娛樂酒店,"5,000"
0297,SINOFERT,中化化肥,"2,000"
0298,CHUANG'S CHINA,莊士中國,"10,000"
0299,NEW SPORTS,新體育,"10,000"
0300,KUNMING MACHINE,昆明機床,"2,000"
0303,VTECH HOLDINGS,VTECH HOLDINGS,100
0305,WULING MOTORS,五菱汽車,"10,000"
0306,KWOON CHUNG BUS,冠忠巴士集團,"2,000"
0307,UP ENERGY DEV,優派能源發展,"2,000"
0308,CHINA TRAVEL HK,香港中旅,"2,000"
0309,XH NEWS MEDIA,新華通訊頻媒,"1,000"
0311,LUEN THAI,聯泰控股,"1,000"
0312,SHIRBLE STORE,歲寶百貨,"2,000"
